length,discount,successful,mean_price,median_of_price,min_rating,max_rating,mean_rating,percentage_of_successful,gender
1525,0,0,78.65,69.0,1.8,4.9,3.32,0.21,0
1969,0,1,86.79,79.5,0.5,4.9,3.15,0.21,0
0,0,0,109.0,109.0,2.9,2.9,2.9,0.22,0
94,15,0,151.0,151.0,2.9,4.3,3.6,0.22,0
155,0,0,151.0,151.0,2.9,4.3,3.6,0.21,0
144,0,0,151.0,151.0,2.9,4.3,3.6,0.21,0
210,0,0,151.0,151.0,2.9,4.3,3.6,0.21,0
100,20,0,151.0,151.0,2.9,4.3,3.6,0.21,0
0,10,0,109.0,109.0,2.9,2.9,2.9,0.2,0
323,0,1,151.0,151.0,2.9,4.3,3.6,0.2,0
289,0,0,151.0,151.0,2.9,4.3,3.6,0.21,0
316,10,1,165.0,193.0,2.9,4.3,3.83,0.21,0
0,0,0,193.0,193.0,4.3,4.3,4.3,0.22,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.21,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.21,0
0,15,0,1816.97,1816.97,0.4,0.4,0.4,0.21,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.21,0
0,5,0,1816.97,1816.97,0.4,0.4,0.4,0.2,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.2,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.2,0
0,10,0,1816.97,1816.97,0.4,0.4,0.4,0.2,0
1196,0,1,4340.55,4862.0,1.2,4.8,2.34,0.2,0
989,0,1,4233.74,4598.0,1.2,4.7,2.07,0.2,0
1101,15,0,3813.44,4187.5,1.2,4.8,2.42,0.21,0
1134,20,0,4406.64,4598.0,1.2,4.7,2.11,0.21,0
1145,20,0,4105.58,4187.5,1.2,4.7,2.12,0.21,0
1586,0,1,4595.23,5126.0,1.2,4.8,2.4,0.21,0
1528,5,0,1047.29,799.0,0.1,4.8,2.8,0.0,1
1739,0,1,868.8,689.0,0.1,4.8,2.64,0.0,1
1122,0,0,1002.5,769.0,0.1,4.6,2.34,0.0,1
252,20,1,69.5,64.8,3.8,4.4,4.2,0.0,1
249,10,1,69.5,64.8,3.8,4.4,4.2,0.25,1
0,0,0,64.8,64.8,4.4,4.4,4.4,0.4,1
955,0,0,91.48,84.9,0.5,4.8,2.43,0.33,1
1129,0,0,91.48,84.9,0.5,4.8,2.43,0.29,1
749,0,0,83.98,79.9,0.8,4.8,2.82,0.25,1
1054,0,0,93.8,89.9,0.5,4.8,2.76,0.22,1
617,0,0,93.8,89.9,0.5,4.8,2.76,0.2,1
366,0,0,93.8,89.9,0.5,4.8,2.76,0.18,1
1191,0,0,124.84,129.0,1.3,4.8,2.94,0.17,1
1550,20,0,108.71,124.0,2.2,4.8,3.25,0.15,1
1484,20,0,117.63,129.0,1.3,4.8,3.03,0.14,1
1306,0,0,111.24,124.0,1.3,4.8,3.14,0.13,1
393,0,0,119.97,129.0,1.3,4.8,3.03,0.12,1
58,0,0,1203.62,1203.62,2.6,4.1,3.35,0.12,1
224,0,0,1203.62,1203.62,2.6,4.1,3.35,0.11,1
298,0,1,871.52,207.33,2.6,4.1,3.1,0.11,1
128,0,0,1203.62,1203.62,2.6,4.1,3.35,0.15,1
98,0,0,1203.62,1203.62,2.6,4.1,3.35,0.14,1
231,0,0,1203.62,1203.62,2.6,4.1,3.35,0.14,1
169,0,0,1203.62,1203.62,2.6,4.1,3.35,0.13,1
506,5,0,250.12,272.0,0.9,3.8,2.35,0.12,1
541,0,1,249.09,245.0,0.9,3.8,2.06,0.12,1
567,0,1,249.09,245.0,0.9,3.8,2.06,0.15,1
663,0,1,249.09,245.0,0.9,3.8,2.06,0.19,1
885,0,1,249.09,245.0,0.9,3.8,2.06,0.21,1
765,0,0,233.82,245.0,0.9,3.8,2.07,0.24,1
1330,5,0,44.01,32.99,0.8,5.0,3.0,0.23,1
1180,0,1,41.6,32.99,0.8,5.0,2.78,0.23,1
1608,0,0,44.01,32.99,0.8,5.0,3.0,0.25,1
1520,0,0,46.17,32.99,0.8,5.0,3.27,0.24,1
1503,0,0,45.38,37.94,0.8,4.1,2.75,0.24,1
1530,15,1,41.6,32.99,0.8,5.0,2.78,0.23,1
0,0,0,99.99,99.99,4.8,4.8,4.8,0.25,1
0,0,1,99.99,99.99,4.8,4.8,4.8,0.24,1
0,5,0,553.0,553.0,3.0,3.0,3.0,0.26,1
0,0,0,553.0,553.0,3.0,3.0,3.0,0.26,1
0,5,0,553.0,553.0,3.0,3.0,3.0,0.25,1
249,0,1,553.0,553.0,3.0,3.0,3.0,0.24,1
75,0,1,553.0,553.0,3.0,3.0,3.0,0.26,1
476,0,1,106.33,54.99,0.4,4.0,1.77,0.28,1
322,0,0,106.33,54.99,0.4,4.0,1.77,0.3,1
0,15,0,58.97,58.97,3.9,3.9,3.9,0.29,1
0,5,0,58.97,58.97,3.9,3.9,3.9,0.28,1
0,0,0,58.97,58.97,3.9,3.9,3.9,0.28,1
1667,0,1,78.78,69.0,0.5,4.9,2.93,0.27,1
1616,0,0,83.09,69.0,0.5,4.9,3.17,0.29,1
771,0,0,74.2,69.0,0.5,4.9,3.06,0.28,1
1494,0,0,83.09,69.0,0.5,4.9,3.17,0.27,1
1515,5,0,78.65,69.0,0.5,4.9,3.08,0.27,1
1921,0,1,84.35,69.0,0.5,4.9,3.03,0.26,1
1615,20,1,87.78,79.5,0.5,4.9,2.97,0.28,1
158,15,0,151.0,151.0,2.9,4.3,3.6,0.29,1
280,0,0,151.0,151.0,2.9,4.3,3.6,0.29,1
309,5,1,165.0,193.0,2.9,4.3,3.83,0.28,1
201,0,0,151.0,151.0,2.9,4.3,3.6,0.29,1
324,0,1,165.0,193.0,2.9,4.3,3.83,0.29,1
34,10,0,151.0,151.0,2.9,4.3,3.6,0.3,1
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.3,1
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.29,1
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.29,1
1254,15,1,4468.44,4862.0,1.2,4.8,2.14,0.28,1
1486,15,1,3974.06,4598.0,1.2,4.8,2.33,0.29,1
764,5,0,4110.94,4187.5,1.2,4.8,2.53,0.3,1
1182,20,0,4296.19,4862.0,1.2,4.8,2.58,0.3,1
1216,5,0,4512.26,4862.0,1.2,4.8,2.5,0.29,1
1215,15,1,868.8,689.0,0.1,4.8,2.64,0.0,1
218,20,1,69.5,64.8,3.8,4.4,4.2,0.0,1
221,0,0,71.85,71.85,3.8,4.4,4.1,0.5,1
907,10,0,93.8,89.9,0.5,4.8,2.4,0.33,1
1134,15,0,87.98,79.9,0.5,4.8,2.6,0.25,1
1189,0,0,136.24,129.0,1.3,3.4,2.67,0.2,1
45,20,0,1203.62,1203.62,2.6,4.1,3.35,0.17,1
197,0,0,1203.62,1203.62,2.6,4.1,3.35,0.14,1
0,0,0,2199.9,2199.9,4.1,4.1,4.1,0.12,1
1028,0,0,250.12,272.0,0.9,3.8,2.35,0.11,1
347,0,0,250.12,272.0,0.9,3.8,2.35,0.1,1
586,5,0,250.12,272.0,0.9,3.8,2.35,0.09,1
1355,15,1,37.68,32.99,0.8,5.0,2.63,0.08,1
1499,0,0,44.01,32.99,0.8,5.0,3.0,0.15,1
1661,0,0,39.64,32.99,0.8,5.0,2.89,0.14,1
2050,0,1,41.6,32.99,0.8,5.0,2.78,0.13,1
881,20,0,41.57,32.99,0.8,5.0,3.0,0.19,1
0,15,0,99.99,99.99,4.8,4.8,4.8,0.18,1
24,0,1,99.99,99.99,4.8,4.8,4.8,0.17,1
198,0,1,99.99,99.99,4.8,4.8,4.8,0.21,1
0,15,0,553.0,553.0,3.0,3.0,3.0,0.25,1
0,10,0,553.0,553.0,3.0,3.0,3.0,0.24,1
0,5,0,553.0,553.0,3.0,3.0,3.0,0.23,1
0,5,0,553.0,553.0,3.0,3.0,3.0,0.22,1
0,20,1,553.0,553.0,3.0,3.0,3.0,0.21,1
590,5,0,34.99,34.99,0.9,4.0,2.45,0.24,1
16,0,1,58.97,58.97,3.9,3.9,3.9,0.23,1
0,0,0,58.97,58.97,3.9,3.9,3.9,0.26,1
0,0,0,58.97,58.97,3.9,3.9,3.9,0.25,1
0,0,0,109.0,109.0,2.9,2.9,2.9,0.24,1
209,0,1,193.0,193.0,4.3,4.3,4.3,0.23,1
1188,0,0,4238.5,4598.0,1.2,4.8,2.42,0.26,1
1361,0,0,4512.26,4862.0,1.2,4.8,2.5,0.25,1
1729,5,1,627.5,569.0,1.4,4.8,2.71,0.0,0
1119,0,0,935.45,739.0,0.1,4.8,2.61,0.0,0
91,5,0,71.85,71.85,3.8,4.4,4.1,0.0,0
0,0,0,78.9,78.9,3.8,3.8,3.8,0.0,0
0,0,0,78.9,78.9,3.8,3.8,3.8,0.0,0
779,20,0,91.48,84.9,0.5,4.8,2.43,0.0,0
1011,20,0,87.98,79.9,0.5,4.8,2.6,0.0,0
850,15,0,91.48,84.9,0.5,4.8,2.43,0.0,0
665,0,0,93.8,89.9,0.5,4.8,2.76,0.0,0
1207,15,0,125.67,129.0,1.3,4.8,2.87,0.0,0
1431,0,0,117.63,129.0,1.3,4.8,3.03,0.0,0
1392,20,0,117.63,129.0,1.3,4.8,3.03,0.0,0
187,10,0,1203.62,1203.62,2.6,4.1,3.35,0.0,0
11,20,0,1203.62,1203.62,2.6,4.1,3.35,0.0,0
113,5,0,1203.62,1203.62,2.6,4.1,3.35,0.0,0
540,0,0,250.12,272.0,0.9,3.8,2.35,0.0,0
822,0,0,250.12,272.0,0.9,3.8,2.35,0.0,0
407,0,0,251.82,299.0,1.5,3.8,2.83,0.0,0
977,15,0,250.12,272.0,0.9,3.8,2.35,0.0,0
500,0,1,249.09,245.0,0.9,3.8,2.06,0.0,0
722,0,0,250.12,272.0,0.9,3.8,2.35,0.05,0
727,0,0,250.12,272.0,0.9,3.8,2.35,0.05,0
968,0,1,249.09,245.0,0.9,3.8,2.06,0.05,0
1299,0,0,47.01,37.94,2.0,5.0,3.28,0.09,0
1689,0,0,44.01,32.99,0.8,5.0,3.0,0.08,0
1232,15,0,44.01,32.99,0.8,5.0,3.0,0.08,0
1391,0,0,44.01,32.99,0.8,5.0,3.0,0.08,0
1439,0,1,41.6,32.99,0.8,5.0,2.78,0.07,0
0,20,0,99.99,99.99,4.8,4.8,4.8,0.11,0
0,10,0,99.99,99.99,4.8,4.8,4.8,0.1,0
0,0,0,99.99,99.99,4.8,4.8,4.8,0.1,0
8,0,1,553.0,553.0,3.0,3.0,3.0,0.1,0
0,0,0,553.0,553.0,3.0,3.0,3.0,0.12,0
0,5,0,553.0,553.0,3.0,3.0,3.0,0.12,0
0,5,0,553.0,553.0,3.0,3.0,3.0,0.12,0
0,10,0,553.0,553.0,3.0,3.0,3.0,0.11,0
0,0,0,553.0,553.0,3.0,3.0,3.0,0.11,0
0,0,0,553.0,553.0,3.0,3.0,3.0,0.11,0
264,0,1,553.0,553.0,3.0,3.0,3.0,0.11,0
0,20,0,553.0,553.0,3.0,3.0,3.0,0.13,0
178,20,1,553.0,553.0,3.0,3.0,3.0,0.12,0
441,5,0,106.33,54.99,0.4,4.0,1.77,0.15,0
136,15,0,106.33,54.99,0.4,4.0,1.77,0.14,0
0,0,0,58.97,58.97,3.9,3.9,3.9,0.14,0
0,20,0,58.97,58.97,3.9,3.9,3.9,0.14,0
1545,0,0,83.09,69.0,0.5,4.9,2.83,0.13,0
1691,0,1,84.35,69.0,0.5,4.9,3.03,0.13,0
1720,0,1,86.79,79.5,0.5,4.9,3.15,0.15,0
929,0,0,84.86,79.5,0.5,4.9,2.74,0.17,0
393,0,1,165.0,193.0,2.9,4.3,3.83,0.16,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.18,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.18,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.17,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.17,0
0,15,0,1816.97,1816.97,0.4,0.4,0.4,0.17,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.16,0
0,20,0,1816.97,1816.97,0.4,0.4,0.4,0.16,0
1257,10,0,4238.5,4598.0,1.2,4.8,2.42,0.16,0
1264,0,0,4238.5,4598.0,1.2,4.8,2.42,0.16,0
1587,0,1,4340.55,4862.0,1.2,4.8,2.34,0.15,0
1431,0,1,4340.55,4862.0,1.2,4.8,2.34,0.17,0
1538,5,0,4238.5,4598.0,1.2,4.8,2.42,0.18,0
1540,15,0,4105.58,4187.5,1.2,4.7,2.12,0.18,0
1290,0,0,4105.58,4187.5,1.2,4.7,2.12,0.17,0
1079,0,0,3813.44,4187.5,1.2,4.8,2.42,0.17,0
868,5,0,4177.65,4598.0,1.2,4.8,2.67,0.17,0
1426,0,1,868.8,689.0,0.1,4.8,2.64,0.0,1
1428,0,0,1031.57,739.0,0.1,4.6,2.37,0.0,1
763,0,0,83.98,79.9,0.8,4.8,2.82,0.0,1
1148,15,0,91.48,84.9,0.5,4.8,2.43,0.0,1
1010,0,0,93.8,89.9,0.5,4.8,2.4,0.0,1
635,0,0,87.98,79.9,0.5,4.8,2.6,0.0,1
604,0,0,91.48,84.9,0.5,4.8,2.43,0.0,1
599,0,0,93.8,89.9,0.5,4.8,2.76,0.0,1
1467,0,0,120.7,129.0,1.3,3.8,2.9,0.0,1
1280,0,0,126.71,129.0,1.3,3.8,2.81,0.0,1
280,0,0,1203.62,1203.62,2.6,4.1,3.35,0.0,1
370,0,1,1203.62,1203.62,2.6,4.1,3.35,0.0,1
747,0,0,224.33,245.0,0.9,3.8,2.63,0.08,1
736,5,0,251.82,299.0,1.5,3.8,2.83,0.08,1
1023,20,0,250.12,272.0,0.9,3.8,2.35,0.07,1
790,15,0,250.12,272.0,0.9,3.8,2.35,0.07,1
1446,0,1,37.46,32.99,0.8,5.0,2.66,0.06,1
1145,20,0,44.01,32.99,0.8,5.0,3.0,0.12,1
1575,20,0,47.01,37.94,2.0,5.0,3.28,0.11,1
102,0,1,99.99,99.99,4.8,4.8,4.8,0.11,1
0,0,0,99.99,99.99,4.8,4.8,4.8,0.15,1
78,0,1,553.0,553.0,3.0,3.0,3.0,0.14,1
0,0,0,553.0,553.0,3.0,3.0,3.0,0.18,1
0,0,0,553.0,553.0,3.0,3.0,3.0,0.17,1
0,15,0,553.0,553.0,3.0,3.0,3.0,0.17,1
525,15,0,106.33,54.99,0.4,4.0,1.77,0.16,1
801,10,0,106.33,54.99,0.4,4.0,1.77,0.15,1
486,20,0,106.33,54.99,0.4,4.0,1.77,0.15,1
572,0,1,83.49,34.99,0.4,4.0,2.33,0.14,1
0,10,0,58.97,58.97,3.9,3.9,3.9,0.17,1
0,10,1,58.97,58.97,3.9,3.9,3.9,0.17,1
231,0,1,58.97,58.97,3.9,3.9,3.9,0.19,1
0,5,0,58.97,58.97,3.9,3.9,3.9,0.22,1
113,15,1,58.97,58.97,3.9,3.9,3.9,0.21,1
0,20,0,58.97,58.97,3.9,3.9,3.9,0.24,1
0,10,0,58.97,58.97,3.9,3.9,3.9,0.23,1
1793,15,0,73.09,69.0,0.5,4.9,2.93,0.22,1
164,0,0,151.0,151.0,2.9,4.3,3.6,0.22,1
128,0,0,151.0,151.0,2.9,4.3,3.6,0.21,1
287,0,0,151.0,151.0,2.9,4.3,3.6,0.21,1
0,0,0,1816.97,1816.97,0.4,0.4,0.4,0.2,1
1780,20,0,4238.5,4598.0,1.2,4.8,2.42,0.2,1
1100,0,0,4518.55,4862.0,1.2,4.8,2.45,0.19,1
1244,5,1,4340.55,4862.0,1.2,4.8,2.34,0.19,1
527,10,0,4617.29,5126.0,1.2,4.8,2.69,0.2,1
311,0,0,4065.58,4598.0,1.2,4.8,2.51,0.2,1
1783,15,0,934.43,639.0,0.1,4.8,2.71,0.0,0
1375,15,1,970.34,569.0,1.4,4.8,3.22,0.0,0
1484,0,0,610.43,639.0,0.1,4.8,2.31,0.0,0
1136,0,0,1114.43,799.0,0.1,4.8,2.59,0.0,0
1506,0,0,935.45,739.0,0.1,4.8,2.61,0.0,0
1482,15,0,1018.75,769.0,0.1,4.8,2.58,0.0,0
881,0,1,970.67,689.0,0.1,4.6,2.27,0.0,0
92,0,0,71.85,71.85,3.8,4.4,4.1,0.14,0
230,0,0,71.85,71.85,3.8,4.4,4.1,0.12,0
207,15,0,71.85,71.85,3.8,4.4,4.1,0.11,0
1126,0,0,91.48,84.9,0.5,4.8,2.43,0.1,0
919,15,0,91.8,79.9,0.5,4.8,2.06,0.09,0
1118,10,0,117.63,129.0,1.3,4.8,3.03,0.08,0
1208,5,0,124.84,129.0,1.3,4.8,2.94,0.08,0
1382,0,0,117.63,129.0,1.3,4.8,3.03,0.07,0
1612,0,1,110.37,124.0,1.3,4.8,3.21,0.07,0
7,5,0,1203.62,1203.62,2.6,4.1,3.35,0.12,0
96,5,0,1203.62,1203.62,2.6,4.1,3.35,0.12,0
296,0,0,1203.62,1203.62,2.6,4.1,3.35,0.11,0
294,0,0,1203.62,1203.62,2.6,4.1,3.35,0.11,0
173,0,0,1203.62,1203.62,2.6,4.1,3.35,0.1,0
0,0,0,207.33,207.33,2.6,2.6,2.6,0.1,0
894,15,0,250.12,272.0,0.9,3.8,2.35,0.09,0
777,0,1,249.09,245.0,0.9,3.8,2.06,0.09,0
441,15,0,250.12,272.0,0.9,3.8,2.35,0.12,0
