length,discount,successful,mean_price,median_of_price,min_rating,max_rating,mean_rating,sessions_so_far,successful_sessions_so_far,cat_Akcesoria_telefoniczne,cat_Anteny_RTV,cat_Audio,cat_Biurowe_urządzenia_wielofunkcyjne,cat_Drukarki_i_skanery,cat_Gry_PlayStation3,cat_Gry_Xbox_360,cat_Gry_i_konsole,cat_Gry_komputerowe,cat_Gry_na_konsole,cat_Komputery,cat_Monitory,cat_Monitory_LCD,cat_Odtwarzacze_DVD,cat_Odtwarzacze_mp3_i_mp4,cat_Okulary_3D,cat_Przenośne_audio_i_video,cat_Sprzęt_RTV,cat_Słuchawki,cat_Tablety,cat_Tablety_i_akcesoria,cat_Telefony_i_akcesoria,cat_Telefony_komórkowe,cat_Telefony_stacjonarne,cat_Telewizory_i_akcesoria,cat_Video,cat_Zestawy_głośnomówiące,cat_Zestawy_słuchawkowe,gender
235,0,0,71.85,71.85,3.8,4.4,4.1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1
1089,0,0,82.5,79.9,0.8,4.8,2.45,11,2,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
469,0,0,91.48,84.9,0.5,4.8,2.43,12,2,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
871,15,0,87.98,79.9,0.5,4.8,2.6,13,2,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
774,0,0,97.54,89.9,0.5,4.3,1.96,14,2,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
815,15,0,93.36,89.9,0.5,4.8,3.2,15,2,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1279,0,1,117.63,129.0,1.3,4.8,3.03,16,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,1
1430,5,0,117.63,129.0,1.3,4.8,3.03,17,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,1
1618,0,0,111.21,124.0,1.3,4.8,3.0,18,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,1
104,0,0,1203.62,1203.62,2.6,4.1,3.35,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1
193,0,0,1203.62,1203.62,2.6,4.1,3.35,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1
57,0,0,1203.62,1203.62,2.6,4.1,3.35,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1
0,0,0,207.33,207.33,2.6,2.6,2.6,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
914,0,1,249.09,245.0,0.9,3.8,2.06,23,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,1
570,0,0,250.12,272.0,0.9,3.8,2.35,24,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1
596,10,0,250.12,272.0,0.9,3.8,2.35,25,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1
142,0,0,233.82,245.0,0.9,3.8,2.07,26,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1
1446,15,0,44.01,32.99,0.8,5.0,3.0,27,4,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1593,20,0,39.89,32.99,0.8,5.0,2.86,28,4,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1049,0,0,39.89,32.99,0.8,5.0,2.86,29,4,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1251,20,0,46.17,32.99,0.8,5.0,3.27,30,4,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1556,0,1,37.68,32.99,0.8,5.0,2.63,31,4,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1299,0,1,41.6,32.99,0.8,5.0,2.78,32,5,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1344,0,0,45.38,37.94,0.8,4.1,2.75,33,6,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1337,15,0,47.58,42.9,0.8,4.1,2.86,34,6,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1533,5,0,39.64,32.99,0.8,5.0,2.89,35,6,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,99.99,99.99,4.8,4.8,4.8,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
76,5,1,99.99,99.99,4.8,4.8,4.8,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,1
0,15,0,99.99,99.99,4.8,4.8,4.8,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
0,10,0,99.99,99.99,4.8,4.8,4.8,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
0,15,0,553.0,553.0,3.0,3.0,3.0,40,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,0,0,553.0,553.0,3.0,3.0,3.0,41,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
100,15,1,553.0,553.0,3.0,3.0,3.0,42,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
0,20,0,553.0,553.0,3.0,3.0,3.0,43,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
574,0,1,83.49,34.99,0.4,4.0,2.33,44,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1
608,20,0,106.33,54.99,0.4,4.0,1.77,45,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1
0,20,0,54.99,54.99,0.9,0.9,0.9,46,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,58.97,58.97,3.9,3.9,3.9,47,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1350,0,1,90.88,89.99,0.5,4.9,3.29,48,9,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1049,0,1,85.88,79.5,0.5,4.9,2.84,49,10,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,5,1,165.0,193.0,2.9,4.3,3.83,50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1
339,0,1,165.0,193.0,2.9,4.3,3.83,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1
0,0,0,1816.97,1816.97,0.4,0.4,0.4,52,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
1040,0,0,4193.57,4451.5,1.2,4.8,2.58,53,13,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1453,0,0,960.0,719.0,0.1,4.8,2.76,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,1,64.8,64.8,4.4,4.4,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1079,10,0,101.95,99.45,0.5,4.3,1.8,2,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,10,0,91.48,84.9,0.5,4.8,2.43,3,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1256,0,0,91.48,84.9,0.5,4.8,2.43,4,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,0,1,108.1,124.0,2.2,4.8,3.5,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,0
1247,10,0,118.46,124.0,1.3,4.8,3.15,6,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0
273,0,0,250.12,272.0,0.9,3.8,2.35,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
895,0,1,229.5,245.0,0.9,3.8,2.2,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
210,10,1,236.62,245.0,0.9,3.8,1.78,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
1417,0,0,44.01,32.99,0.8,5.0,3.0,10,3,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,0,0,44.01,32.99,0.8,5.0,3.0,11,3,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,39.64,32.99,0.8,5.0,2.89,12,3,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1742,0,1,42.89,32.99,0.8,5.0,2.87,13,3,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,99.99,99.99,4.8,4.8,4.8,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,99.99,99.99,4.8,4.8,4.8,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
24,0,1,553.0,553.0,3.0,3.0,3.0,16,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
518,20,0,106.33,54.99,0.4,4.0,1.77,17,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
701,20,1,83.49,34.99,0.4,4.0,2.33,18,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
554,5,0,106.33,54.99,0.4,4.0,1.77,19,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
0,10,0,58.97,58.97,3.9,3.9,3.9,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,58.97,58.97,3.9,3.9,3.9,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,20,0,58.97,58.97,3.9,3.9,3.9,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,10,0,58.97,58.97,3.9,3.9,3.9,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1416,0,1,84.35,69.0,0.5,4.9,3.03,24,6,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683,0,1,84.35,69.0,0.5,4.9,3.03,25,7,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,151.0,151.0,2.9,4.3,3.6,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
0,0,0,1816.97,1816.97,0.4,0.4,0.4,27,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
916,0,0,4296.19,4862.0,1.2,4.8,2.58,28,8,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,15,0,4238.5,4598.0,1.2,4.8,2.42,29,8,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,0,0,4238.5,4598.0,1.2,4.8,2.42,30,8,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,20,0,3813.44,4187.5,1.2,4.8,2.42,31,8,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,0,1,4876.05,5192.5,1.2,4.8,2.06,32,8,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761,0,0,960.0,719.0,0.1,4.8,2.76,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477,20,0,960.0,719.0,0.1,4.8,2.76,1,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,0,0,935.45,739.0,0.1,4.8,2.61,2,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1572,0,0,912.75,689.0,0.1,4.8,2.6,3,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,15,1,942.5,689.0,0.1,4.8,2.72,4,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,0,1,868.8,689.0,0.1,4.8,2.64,5,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,1,69.5,64.8,3.8,4.4,4.2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0
12,0,0,71.85,71.85,3.8,4.4,4.1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
462,0,1,69.5,64.8,3.8,4.4,4.2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0
54,5,0,71.85,71.85,3.8,4.4,4.1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
270,0,1,64.8,64.8,4.4,4.4,4.4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
721,15,0,91.8,79.9,0.5,4.8,2.06,11,4,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,0,0,91.48,84.9,0.5,4.8,2.43,12,4,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,0,0,91.48,84.9,0.5,4.8,2.43,13,4,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,0,0,91.48,84.9,0.5,4.8,2.43,14,4,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,5,0,97.54,89.9,0.5,4.3,1.96,15,4,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,10,0,91.48,84.9,0.5,4.8,2.43,16,4,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989,0,0,91.48,84.9,0.5,4.8,2.43,17,4,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,0,0,91.48,84.9,0.5,4.8,2.43,18,4,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,0,0,94.77,94.45,0.5,4.8,2.38,19,4,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,15,0,117.63,129.0,1.3,4.8,3.03,20,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0
1090,0,0,116.21,124.0,1.3,4.8,2.99,21,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,0
1381,0,0,117.63,129.0,1.3,4.8,3.03,22,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0
1385,15,1,110.37,124.0,1.3,4.8,3.21,23,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0
1682,0,0,117.63,129.0,1.3,4.8,3.03,24,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0
1229,20,0,117.63,129.0,1.3,4.8,3.03,25,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0
1204,0,0,117.63,129.0,1.3,4.8,3.03,26,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0
2063,0,1,110.37,124.0,1.3,4.8,3.21,27,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0
1401,0,0,117.63,129.0,1.3,4.8,3.03,28,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,0
0,0,0,2199.9,2199.9,4.1,4.1,4.1,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
53,0,0,1203.62,1203.62,2.6,4.1,3.35,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
78,0,1,207.33,207.33,2.6,2.6,2.6,31,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
865,0,1,249.09,245.0,0.9,3.8,2.06,32,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0
1460,0,1,41.6,32.99,0.8,5.0,2.78,33,8,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1474,0,0,45.38,37.94,0.8,4.1,2.75,34,9,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1535,5,0,44.01,32.99,0.8,5.0,3.0,35,9,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,15,0,44.01,32.99,0.8,5.0,3.0,36,9,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1587,10,1,47.27,37.94,0.8,5.0,2.97,37,9,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,0,0,44.01,32.99,0.8,5.0,3.0,38,10,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1477,20,0,47.27,37.94,0.8,5.0,2.97,39,10,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287,5,0,39.64,32.99,0.8,5.0,2.89,40,10,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1630,0,1,39.17,32.99,0.8,5.0,2.76,41,10,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,0,0,36.52,32.99,0.8,5.0,2.84,42,11,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,99.99,99.99,4.8,4.8,4.8,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,99.99,99.99,4.8,4.8,4.8,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,15,0,99.99,99.99,4.8,4.8,4.8,45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,99.99,99.99,4.8,4.8,4.8,46,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,99.99,99.99,4.8,4.8,4.8,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
0,10,0,553.0,553.0,3.0,3.0,3.0,48,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,553.0,553.0,3.0,3.0,3.0,49,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,10,0,553.0,553.0,3.0,3.0,3.0,50,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,553.0,553.0,3.0,3.0,3.0,51,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,10,0,553.0,553.0,3.0,3.0,3.0,52,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,553.0,553.0,3.0,3.0,3.0,53,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,10,0,553.0,553.0,3.0,3.0,3.0,54,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
164,0,0,152.0,152.0,0.4,0.9,0.65,55,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
314,0,0,106.33,54.99,0.4,4.0,1.77,56,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
812,10,1,83.49,34.99,0.4,4.0,2.33,57,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
586,0,0,106.33,54.99,0.4,4.0,1.77,58,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
356,0,1,83.49,34.99,0.4,4.0,2.33,59,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
468,20,0,34.99,34.99,0.9,4.0,2.45,60,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
