,length,discount,user_id,successful,mean_price,min_rating,max_rating,mean_rating,successful_sessions_so_far,sessions_so_far,cat_Akcesoria_telefoniczne,cat_Anteny_RTV,cat_Audio,cat_Biurowe_urządzenia_wielofunkcyjne,cat_Drukarki_i_skanery,cat_Gry_PlayStation3,cat_Gry_Xbox_360,cat_Gry_i_konsole,cat_Gry_komputerowe,cat_Gry_na_konsole,cat_Komputery,cat_Monitory,cat_Monitory_LCD,cat_Odtwarzacze_DVD,cat_Odtwarzacze_mp3_i_mp4,cat_Okulary_3D,cat_Przenośne_audio_i_video,cat_Sprzęt_RTV,cat_Słuchawki,cat_Tablety,cat_Tablety_i_akcesoria,cat_Telefony_i_akcesoria,cat_Telefony_komórkowe,cat_Telefony_stacjonarne,cat_Telewizory_i_akcesoria,cat_Video,cat_Zestawy_głośnomówiące,cat_Zestawy_słuchawkowe,city,gender
10,0 days 00:03:55,0,102,False,71.85,3.8,4.4,4.1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Police,True
11,0 days 00:18:09,0,102,False,82.5,0.8,4.8,2.45,2,11,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
12,0 days 00:07:49,0,102,False,91.48,0.5,4.8,2.43,2,12,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
13,0 days 00:14:31,15,102,False,87.98,0.5,4.8,2.6,2,13,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
14,0 days 00:12:54,0,102,False,97.54,0.5,4.3,1.96,2,14,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
15,0 days 00:13:35,15,102,False,93.36,0.5,4.8,3.2,2,15,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
16,0 days 00:21:19,0,102,True,117.63,1.3,4.8,3.03,2,16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Police,True
17,0 days 00:23:50,5,102,False,117.63,1.3,4.8,3.03,3,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Police,True
18,0 days 00:26:58,0,102,False,111.21,1.3,4.8,3.0,3,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,Police,True
19,0 days 00:01:44,0,102,False,1203.62,2.6,4.1,3.35,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Police,True
20,0 days 00:03:13,0,102,False,1203.62,2.6,4.1,3.35,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Police,True
21,0 days 00:00:57,0,102,False,1203.62,2.6,4.1,3.35,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Police,True
22,0 days 00:00:00,0,102,False,207.33,2.6,2.6,2.6,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Police,True
23,0 days 00:15:14,0,102,True,249.09,0.9,3.8,2.06,3,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,Police,True
24,0 days 00:09:30,0,102,False,250.12,0.9,3.8,2.35,4,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,Police,True
25,0 days 00:09:56,10,102,False,250.12,0.9,3.8,2.35,4,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,Police,True
26,0 days 00:02:22,0,102,False,233.82,0.9,3.8,2.07,4,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,Police,True
27,0 days 00:24:06,15,102,False,44.01,0.8,5.0,3.0,4,27,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
28,0 days 00:26:33,20,102,False,39.89,0.8,5.0,2.86,4,28,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
29,0 days 00:17:29,0,102,False,39.89,0.8,5.0,2.86,4,29,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
30,0 days 00:20:51,20,102,False,46.17,0.8,5.0,3.27,4,30,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
31,0 days 00:25:56,0,102,True,37.68,0.8,5.0,2.63,4,31,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
32,0 days 00:21:39,0,102,True,41.6,0.8,5.0,2.78,5,32,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
33,0 days 00:22:24,0,102,False,45.38,0.8,4.1,2.75,6,33,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
34,0 days 00:22:17,15,102,False,47.58,0.8,4.1,2.86,6,34,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
35,0 days 00:25:33,5,102,False,39.64,0.8,5.0,2.89,6,35,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
36,0 days 00:00:00,0,102,False,99.99,4.8,4.8,4.8,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,Police,True
37,0 days 00:01:16,5,102,True,99.99,4.8,4.8,4.8,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,Police,True
38,0 days 00:00:00,15,102,False,99.99,4.8,4.8,4.8,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,Police,True
39,0 days 00:00:00,10,102,False,99.99,4.8,4.8,4.8,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,Police,True
40,0 days 00:00:00,15,102,False,553.0,3.0,3.0,3.0,7,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Police,True
41,0 days 00:00:00,0,102,False,553.0,3.0,3.0,3.0,7,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Police,True
42,0 days 00:01:40,15,102,True,553.0,3.0,3.0,3.0,7,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,Police,True
43,0 days 00:00:00,20,102,False,553.0,3.0,3.0,3.0,8,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Police,True
44,0 days 00:09:34,0,102,True,83.49,0.4,4.0,2.33,8,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,Police,True
45,0 days 00:10:08,20,102,False,106.33,0.4,4.0,1.77,9,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Police,True
46,0 days 00:00:00,20,102,False,54.99,0.9,0.9,0.9,9,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Police,True
47,0 days 00:00:00,0,102,False,58.97,3.9,3.9,3.9,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Police,True
48,0 days 00:22:30,0,102,True,90.88,0.5,4.9,3.29,9,48,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
49,0 days 00:17:29,0,102,True,85.88,0.5,4.9,2.84,10,49,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
50,0 days 00:01:39,5,102,True,165.0,2.9,4.3,3.83,11,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,Police,True
51,0 days 00:05:39,0,102,True,165.0,2.9,4.3,3.83,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,Police,True
52,0 days 00:00:00,0,102,False,1816.97,0.4,0.4,0.4,13,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Police,True
53,0 days 00:17:20,0,102,False,4193.57,1.2,4.8,2.58,13,53,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,True
54,0 days 00:24:13,0,103,False,960.0,0.1,4.8,2.76,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
55,0 days 00:02:04,0,103,True,64.8,4.4,4.4,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Police,False
56,0 days 00:17:59,10,103,False,101.95,0.5,4.3,1.8,0,2,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
57,0 days 00:16:53,10,103,False,91.48,0.5,4.8,2.43,0,3,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
58,0 days 00:20:56,0,103,False,91.48,0.5,4.8,2.43,0,4,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
59,0 days 00:25:04,0,103,True,108.1,2.2,4.8,3.5,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,Police,False
60,0 days 00:20:47,10,103,False,118.46,1.3,4.8,3.15,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,Police,False
61,0 days 00:04:33,0,103,False,250.12,0.9,3.8,2.35,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,Police,False
62,0 days 00:14:55,0,103,True,229.5,0.9,3.8,2.2,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,Police,False
63,0 days 00:03:30,10,103,True,236.62,0.9,3.8,1.78,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,Police,False
64,0 days 00:23:37,0,103,False,44.01,0.8,5.0,3.0,3,10,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
65,0 days 00:21:07,0,103,False,44.01,0.8,5.0,3.0,3,11,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
66,0 days 00:33:20,10,103,False,39.64,0.8,5.0,2.89,3,12,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
67,0 days 00:29:02,0,103,True,42.89,0.8,5.0,2.87,3,13,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
68,0 days 00:00:00,0,103,False,99.99,4.8,4.8,4.8,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,Police,False
69,0 days 00:00:00,0,103,False,99.99,4.8,4.8,4.8,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,Police,False
70,0 days 00:00:24,0,103,True,553.0,3.0,3.0,3.0,4,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,Police,False
71,0 days 00:08:38,20,103,False,106.33,0.4,4.0,1.77,5,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Police,False
72,0 days 00:11:41,20,103,True,83.49,0.4,4.0,2.33,5,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,Police,False
73,0 days 00:09:14,5,103,False,106.33,0.4,4.0,1.77,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Police,False
74,0 days 00:00:00,10,103,False,58.97,3.9,3.9,3.9,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Police,False
75,0 days 00:00:00,0,103,False,58.97,3.9,3.9,3.9,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Police,False
76,0 days 00:00:00,20,103,False,58.97,3.9,3.9,3.9,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Police,False
77,0 days 00:00:00,10,103,False,58.97,3.9,3.9,3.9,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Police,False
78,0 days 00:23:36,0,103,True,84.35,0.5,4.9,3.03,6,24,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
79,0 days 00:28:03,0,103,True,84.35,0.5,4.9,3.03,7,25,0,0,0,0,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
80,0 days 00:04:51,0,103,False,151.0,2.9,4.3,3.6,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,Police,False
81,0 days 00:00:00,0,103,False,1816.97,0.4,0.4,0.4,8,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Police,False
82,0 days 00:15:16,0,103,False,4296.19,1.2,4.8,2.58,8,28,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
83,0 days 00:18:56,15,103,False,4238.5,1.2,4.8,2.42,8,29,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
84,0 days 00:13:46,0,103,False,4238.5,1.2,4.8,2.42,8,30,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
85,0 days 00:19:41,20,103,False,3813.44,1.2,4.8,2.42,8,31,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
86,0 days 00:20:26,0,103,True,4876.05,1.2,4.8,2.06,8,32,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
87,0 days 00:29:21,0,104,False,960.0,0.1,4.8,2.76,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
88,0 days 00:24:37,20,104,False,960.0,0.1,4.8,2.76,0,1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
89,0 days 00:28:12,0,104,False,935.45,0.1,4.8,2.61,0,2,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
90,0 days 00:26:12,0,104,False,912.75,0.1,4.8,2.6,0,3,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
91,0 days 00:31:16,15,104,True,942.5,0.1,4.8,2.72,0,4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
92,0 days 00:25:13,0,104,True,868.8,0.1,4.8,2.64,0,5,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
93,0 days 00:02:52,0,104,True,69.5,3.8,4.4,4.2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,Mielec,False
94,0 days 00:00:12,0,104,False,71.85,3.8,4.4,4.1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Mielec,False
95,0 days 00:07:42,0,104,True,69.5,3.8,4.4,4.2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,Mielec,False
96,0 days 00:00:54,5,104,False,71.85,3.8,4.4,4.1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Mielec,False
97,0 days 00:04:30,0,104,True,64.8,4.4,4.4,4.4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,Mielec,False
98,0 days 00:12:01,15,104,False,91.8,0.5,4.8,2.06,4,11,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
99,0 days 00:12:31,0,104,False,91.48,0.5,4.8,2.43,4,12,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
100,0 days 00:09:19,0,104,False,91.48,0.5,4.8,2.43,4,13,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
101,0 days 00:14:57,0,104,False,91.48,0.5,4.8,2.43,4,14,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
102,0 days 00:17:29,5,104,False,97.54,0.5,4.3,1.96,4,15,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
103,0 days 00:08:14,10,104,False,91.48,0.5,4.8,2.43,4,16,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
104,0 days 00:16:29,0,104,False,91.48,0.5,4.8,2.43,4,17,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
105,0 days 00:16:25,0,104,False,91.48,0.5,4.8,2.43,4,18,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
106,0 days 00:04:16,0,104,False,94.77,0.5,4.8,2.38,4,19,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
107,0 days 00:18:25,15,104,False,117.63,1.3,4.8,3.03,4,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Mielec,False
108,0 days 00:18:10,0,104,False,116.21,1.3,4.8,2.99,4,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,Mielec,False
109,0 days 00:23:01,0,104,False,117.63,1.3,4.8,3.03,4,22,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Mielec,False
110,0 days 00:23:05,15,104,True,110.37,1.3,4.8,3.21,4,23,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,Mielec,False
111,0 days 00:28:02,0,104,False,117.63,1.3,4.8,3.03,5,24,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Mielec,False
112,0 days 00:20:29,20,104,False,117.63,1.3,4.8,3.03,5,25,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Mielec,False
113,0 days 00:20:04,0,104,False,117.63,1.3,4.8,3.03,5,26,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Mielec,False
114,0 days 00:34:23,0,104,True,110.37,1.3,4.8,3.21,5,27,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,Mielec,False
115,0 days 00:23:21,0,104,False,117.63,1.3,4.8,3.03,6,28,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Mielec,False
116,0 days 00:00:00,0,104,False,2199.9,4.1,4.1,4.1,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Mielec,False
117,0 days 00:00:53,0,104,False,1203.62,2.6,4.1,3.35,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Mielec,False
118,0 days 00:01:18,0,104,True,207.33,2.6,2.6,2.6,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,Mielec,False
119,0 days 00:14:25,0,104,True,249.09,0.9,3.8,2.06,7,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,Mielec,False
120,0 days 00:24:20,0,104,True,41.6,0.8,5.0,2.78,8,33,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
121,0 days 00:24:34,0,104,False,45.38,0.8,4.1,2.75,9,34,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
122,0 days 00:25:35,5,104,False,44.01,0.8,5.0,3.0,9,35,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
123,0 days 00:27:05,15,104,False,44.01,0.8,5.0,3.0,9,36,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
124,0 days 00:26:27,10,104,True,47.27,0.8,5.0,2.97,9,37,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
125,0 days 00:25:30,0,104,False,44.01,0.8,5.0,3.0,10,38,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
126,0 days 00:24:37,20,104,False,47.27,0.8,5.0,2.97,10,39,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
127,0 days 00:21:27,5,104,False,39.64,0.8,5.0,2.89,10,40,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
128,0 days 00:27:10,0,104,True,39.17,0.8,5.0,2.76,10,41,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
129,0 days 00:23:17,0,104,False,36.52,0.8,5.0,2.84,11,42,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mielec,False
130,0 days 00:00:00,0,104,False,99.99,4.8,4.8,4.8,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,Mielec,False
