,length,discount,user_id,successful,mean_price,cat_Akcesoria_telefoniczne,cat_Anteny_RTV,cat_Audio,cat_Biurowe_urządzenia_wielofunkcyjne,cat_Drukarki_i_skanery,cat_Gry_PlayStation3,cat_Gry_Xbox_360,cat_Gry_i_konsole,cat_Gry_komputerowe,cat_Gry_na_konsole,cat_Komputery,cat_Monitory,cat_Monitory_LCD,cat_Odtwarzacze_DVD,cat_Odtwarzacze_mp3_i_mp4,cat_Przenośne_audio_i_video,cat_Sprzęt_RTV,cat_Słuchawki,cat_Tablety,cat_Tablety_i_akcesoria,cat_Telefony_i_akcesoria,cat_Telefony_komórkowe,cat_Telefony_stacjonarne,cat_Telewizory_i_akcesoria,cat_Video,cat_Zestawy_głośnomówiące,cat_Zestawy_słuchawkowe,city,gender
19,0 days 00:27:50,0,102,False,35.02285714285715,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
20,0 days 00:14:22,0,102,False,44.55111111111111,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
21,0 days 00:24:38,0,102,False,43.394999999999996,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
22,0 days 00:28:06,0,102,True,41.267272727272726,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
23,0 days 00:23:40,0,102,False,39.67222222222222,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
24,0 days 00:22:43,0,102,False,39.893750000000004,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
25,0 days 00:13:30,0,102,False,41.162222222222226,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
26,0 days 00:19:32,0,102,False,42.55875,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
27,0 days 00:00:00,20,102,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Police,False
28,0 days 00:00:34,15,102,True,553.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,Police,False
29,0 days 00:00:00,0,102,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Police,False
30,0 days 00:01:39,0,102,True,553.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,Police,False
31,0 days 00:00:00,15,102,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Police,False
32,0 days 00:01:17,0,102,True,553.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,Police,False
33,0 days 00:00:00,10,102,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Police,False
34,0 days 00:00:00,0,102,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Police,False
35,0 days 00:00:00,15,102,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Police,False
36,0 days 00:00:00,0,102,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Police,False
37,0 days 00:00:00,0,102,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Police,False
38,0 days 00:00:00,0,102,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Police,False
39,0 days 00:00:00,0,102,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Police,False
40,0 days 00:00:00,10,102,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Police,False
41,0 days 00:18:45,0,102,False,73.605,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
42,0 days 00:13:52,20,102,False,74.855,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
43,0 days 00:29:16,0,102,True,85.882,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
44,0 days 00:29:49,10,102,True,79.87,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
45,0 days 00:20:51,15,102,False,80.98111111111112,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
46,0 days 00:23:42,15,102,True,79.87,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
47,0 days 00:25:42,5,102,False,84.12142857142858,0,0,0,0,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Police,False
48,0 days 00:00:00,20,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
49,0 days 00:00:00,10,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
50,0 days 00:00:00,0,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
51,0 days 00:00:00,0,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
52,0 days 00:00:00,20,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
53,0 days 00:00:00,0,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
54,0 days 00:00:00,0,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
55,0 days 00:00:00,15,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
56,0 days 00:00:00,0,102,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Police,False
57,0 days 00:03:32,0,102,True,327.586,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,Police,False
58,0 days 00:11:10,0,102,False,405.735,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,Police,False
59,0 days 00:11:06,0,102,False,405.735,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,Police,False
60,0 days 00:07:07,5,102,False,405.735,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,Police,False
61,0 days 00:18:06,10,102,True,221.95833333333334,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,Police,False
62,0 days 00:03:15,0,102,False,2066.995,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Police,False
63,0 days 00:03:15,10,102,False,2066.995,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Police,False
64,0 days 00:04:40,0,102,False,2066.995,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Police,False
65,0 days 00:03:26,0,102,False,2066.995,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Police,False
66,0 days 00:03:26,0,102,True,2150.3366666666666,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,Police,False
67,0 days 00:05:04,0,102,True,2150.3366666666666,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,Police,False
68,0 days 00:00:57,20,102,False,2066.995,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Police,False
69,0 days 00:00:15,10,102,False,2066.995,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Police,False
70,0 days 00:17:32,0,102,False,113.38142857142857,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,7,0,0,Police,False
71,0 days 00:19:37,20,102,False,107.23857142857142,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,7,0,0,Police,False
72,0 days 00:24:13,0,102,False,120.33375,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,Police,False
73,0 days 00:00:00,0,102,False,58.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Police,False
74,0 days 00:00:00,0,102,False,58.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Police,False
75,0 days 00:24:44,0,103,False,673.75125,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
76,0 days 00:26:03,0,103,False,731.5728571428572,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
77,0 days 00:19:34,10,103,False,673.75125,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
78,0 days 00:19:02,10,103,False,97.94833333333332,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
79,0 days 00:27:04,0,103,False,82.82428571428571,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
80,0 days 00:18:42,20,103,False,88.59625,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
81,0 days 00:19:55,10,103,False,88.59625,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
82,0 days 00:24:03,5,103,False,92.51285714285713,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
83,0 days 00:21:57,0,103,False,4107.59,0,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
84,0 days 00:24:16,5,103,True,4595.2266666666665,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
85,0 days 00:01:22,0,103,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Warszawa,True
86,0 days 00:07:03,0,103,True,165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,Warszawa,True
87,0 days 00:03:23,0,103,True,165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,Warszawa,True
88,0 days 00:00:39,15,103,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Warszawa,True
89,0 days 00:03:21,0,103,True,165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,Warszawa,True
90,0 days 00:00:00,0,103,False,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Warszawa,True
91,0 days 00:30:13,0,103,True,43.604,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
92,0 days 00:22:11,0,103,False,43.394999999999996,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
93,0 days 00:20:12,15,103,False,43.394999999999996,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
94,0 days 00:00:00,5,103,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Warszawa,True
95,0 days 00:00:00,0,103,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Warszawa,True
96,0 days 00:00:00,0,103,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Warszawa,True
97,0 days 00:00:00,5,103,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Warszawa,True
98,0 days 00:00:00,0,103,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Warszawa,True
99,0 days 00:20:45,0,103,False,82.47875,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
100,0 days 00:24:51,0,103,True,85.882,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warszawa,True
101,0 days 00:00:00,0,103,False,78.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Warszawa,True
102,0 days 00:05:35,0,103,False,106.32666666666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,Warszawa,True
103,0 days 00:02:07,5,103,False,131.995,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Warszawa,True
104,0 days 00:10:15,15,103,False,217.35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,Warszawa,True
105,0 days 00:07:24,0,103,False,196.9375,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,Warszawa,True
106,0 days 00:04:05,0,103,False,2066.995,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Warszawa,True
107,0 days 00:03:46,0,103,True,2150.3366666666666,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,Warszawa,True
108,0 days 00:21:40,10,103,False,113.62888888888888,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Warszawa,True
109,0 days 00:21:49,0,103,False,113.62888888888888,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,9,0,0,Warszawa,True
110,0 days 00:21:55,0,104,False,960.00125,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
111,0 days 00:20:20,0,104,False,972.50125,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
112,0 days 00:14:22,0,104,False,1004.7142857142857,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
113,0 days 00:28:10,0,104,True,868.801,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
114,0 days 00:23:17,0,104,False,972.50125,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
115,0 days 00:12:20,0,104,False,1008.75125,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
116,0 days 00:30:06,10,104,False,935.4455555555555,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
117,0 days 00:19:26,0,104,False,991.5728571428572,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
118,0 days 00:24:56,0,104,False,88.59625,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
119,0 days 00:22:50,15,104,False,82.82428571428571,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
120,0 days 00:18:03,0,104,False,89.83857142857141,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
121,0 days 00:27:48,0,104,True,89.86222222222221,0,0,0,0,0,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
122,0 days 00:22:09,20,104,False,88.59625,0,0,0,0,0,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
123,0 days 00:14:11,15,104,False,89.83857142857141,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
124,0 days 00:23:10,0,104,True,3974.06,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
125,0 days 00:21:07,0,104,False,4238.504444444445,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
126,0 days 00:17:03,0,104,False,4624.4857142857145,0,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
127,0 days 00:26:41,20,104,False,4193.5675,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
128,0 days 00:18:23,0,104,False,4193.5675,0,0,0,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
129,0 days 00:14:21,0,104,False,4113.673333333333,0,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
130,0 days 00:03:16,0,104,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Kutno,False
131,0 days 00:01:49,0,104,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Kutno,False
132,0 days 00:00:08,0,104,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Kutno,False
133,0 days 00:02:27,20,104,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Kutno,False
134,0 days 00:02:08,5,104,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Kutno,False
135,0 days 00:00:33,5,104,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Kutno,False
136,0 days 00:02:08,0,104,False,151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,Kutno,False
137,0 days 00:00:00,0,104,False,193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Kutno,False
138,0 days 00:16:04,0,104,False,45.995555555555555,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
139,0 days 00:18:50,10,104,False,45.995555555555555,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
140,0 days 00:21:25,0,104,False,46.227777777777774,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
141,0 days 00:15:26,0,104,False,43.394999999999996,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
142,0 days 00:18:51,0,104,False,46.227777777777774,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
143,0 days 00:23:42,0,104,False,39.67222222222222,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
144,0 days 00:23:57,0,104,False,43.394999999999996,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
145,0 days 00:28:07,10,104,True,39.71777777777778,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
146,0 days 00:00:00,0,104,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Kutno,False
147,0 days 00:04:13,10,104,True,553.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,Kutno,False
148,0 days 00:00:00,0,104,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Kutno,False
149,0 days 00:00:00,0,104,False,553.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Kutno,False
150,0 days 00:00:00,20,104,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Kutno,False
151,0 days 00:00:00,0,104,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Kutno,False
152,0 days 00:00:00,10,104,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Kutno,False
153,0 days 00:00:00,0,104,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Kutno,False
154,0 days 00:00:00,5,104,False,2199.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Kutno,False
155,0 days 00:29:51,0,104,False,84.855,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
156,0 days 00:28:32,0,104,True,89.87,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kutno,False
